Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
33035117,04/01/2016 12:00:00 AM,04/26/2016 11:50:35 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10029,150 EAST  103 STREET,EAST  103 STREET,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,05/01/2016 12:59:04 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/26/2016 11:50:35 AM,11 MANHATTAN,MANHATTAN,998826,227162,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.790171317076876,-73.94736115529038,"(40.790171317076876, -73.94736115529038)"
33028709,04/01/2016 12:00:00 AM,04/26/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Other Animal,3+ Family Apartment Building,11201,374 PEARL STREET,PEARL STREET,DEAD END,WILLOUGHBY STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,05/01/2016 01:05:49 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/26/2016 12:00:00 AM,02 BROOKLYN,BROOKLYN,987529,191697,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69284014791493,-73.98817571370006,"(40.69284014791493, -73.98817571370006)"
33038581,04/01/2016 12:00:00 AM,04/26/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11418,123-02 JAMAICA AVENUE,JAMAICA AVENUE,,,,,LATLONG,RICHMOND HILL,,N/A,Closed,05/01/2016 10:09:29 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/26/2016 12:00:00 AM,Unspecified QUEENS,QUEENS,1032160,194512,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70043758155697,-73.82721363798233,"(40.70043758155697, -73.82721363798233)"
33039483,04/01/2016 12:00:00 AM,04/26/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10065,160 EAST   65 STREET,EAST   65 STREET,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,05/01/2016 09:31:47 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/26/2016 12:00:00 AM,08 MANHATTAN,MANHATTAN,994019,218235,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76567567891482,-73.96473382779567,"(40.76567567891482, -73.96473382779567)"
33033713,04/01/2016 12:00:00 AM,04/26/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,1-2 Family Dwelling,11432,181-53 TUDOR ROAD,TUDOR ROAD,TRYON PLACE,SURREY PLACE,,,ADDRESS,Jamaica,,N/A,Closed,05/01/2016 08:15:45 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/26/2016 12:00:00 AM,08 QUEENS,QUEENS,1043355,202873,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.723318777473814,-73.78676585901796,"(40.723318777473814, -73.78676585901796)"
33038860,04/01/2016 12:00:00 AM,04/22/2016 11:32:13 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10013,,,,,CROSBY STREET,BROOME STREET,INTERSECTION,NEW YORK,,N/A,Closed,05/01/2016 07:13:43 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/22/2016 11:32:13 AM,02 MANHATTAN,MANHATTAN,984518,202110,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72142197640664,-73.99903316019109,"(40.72142197640664, -73.99903316019109)"
33034616,04/01/2016 12:00:00 AM,04/25/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,10314,53 CONRAD AVENUE,CONRAD AVENUE,FANELLI LANE,GREENWAY AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,05/01/2016 11:05:44 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/25/2016 12:00:00 AM,02 STATEN ISLAND,STATEN ISLAND,943318,154272,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.59002266071334,-74.14737624806172,"(40.59002266071334, -74.14737624806172)"
33155882,04/01/2016 12:00:00 AM,04/17/2016 04:15:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11421,76-18 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,76 ST,77 ST,,,ADDRESS,Woodhaven,,N/A,Closed,,,04/17/2016 04:15:00 AM,09 QUEENS,QUEENS,1021968,189081,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.685580071375135,-73.864001204288,"(40.685580071375135, -73.864001204288)"
33026760,04/01/2016 12:00:00 AM,04/21/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10012,172 ELIZABETH STREET,ELIZABETH STREET,KENMARE STREET,SPRING STREET,,,ADDRESS,NEW YORK,,N/A,Closed,05/01/2016 12:42:31 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/21/2016 12:00:00 AM,02 MANHATTAN,MANHATTAN,985686,201951,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72098544728762,-73.99481950420673,"(40.72098544728762, -73.99481950420673)"
33037710,04/01/2016 12:00:00 AM,04/04/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10040,600 WEST  188 STREET,WEST  188 STREET,ST NICHOLAS AVENUE,WADSWORTH AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,05/01/2016 02:56:29 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/04/2016 12:00:00 AM,12 MANHATTAN,MANHATTAN,1003413,250332,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.853757634961106,-73.93072979130378,"(40.853757634961106, -73.93072979130378)"
33036862,04/01/2016 12:00:00 AM,04/21/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11377,61-12 LAUREL HILL BOULEVARD,LAUREL HILL BOULEVARD,61 STREET,63 STREET,,,ADDRESS,Woodside,,N/A,Closed,05/01/2016 03:21:41 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/21/2016 12:00:00 AM,02 QUEENS,QUEENS,1011006,208190,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73806962181792,-73.9034506171982,"(40.73806962181792, -73.9034506171982)"
33035538,04/01/2016 12:00:00 AM,04/20/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,10305,74 WINFIELD STREET,WINFIELD STREET,OLYMPIA BOULEVARD,PATTERSON AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,05/01/2016 09:13:57 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/20/2016 12:00:00 AM,02 STATEN ISLAND,STATEN ISLAND,962729,154033,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.589435038001554,-74.07748595823936,"(40.589435038001554, -74.07748595823936)"
33037006,04/01/2016 12:00:00 AM,04/18/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11421,93-04 WOODHAVEN BOULEVARD,WOODHAVEN BOULEVARD,93 AVENUE,ATLANTIC AVENUE,,,ADDRESS,Woodhaven,,N/A,Closed,05/01/2016 09:50:15 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/18/2016 12:00:00 AM,Unspecified QUEENS,QUEENS,1026073,190169,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68854793270382,-73.84919318833556,"(40.68854793270382, -73.84919318833556)"
33038001,04/01/2016 12:00:00 AM,04/19/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Commercial Building,10003,310 EAST 14TH STREET,EAST 14TH STREET,,,,,LATLONG,NEW YORK,,N/A,Closed,05/01/2016 08:57:32 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/19/2016 07:44:00 AM,Unspecified MANHATTAN,MANHATTAN,988521,205924,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.731889451128865,-73.98458947198132,"(40.731889451128865, -73.98458947198132)"
33036839,04/01/2016 12:00:00 AM,04/19/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Mixed Use Building,11209,278 82 STREET,82 STREET,RIDGE BOULEVARD,3 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,05/01/2016 11:04:30 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/19/2016 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,975848,167514,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.626459763417365,-74.03026802231552,"(40.626459763417365, -74.03026802231552)"
33034541,04/01/2016 12:00:00 AM,04/18/2016 06:27:44 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,11226,75 LENOX ROAD,LENOX ROAD,,,,,LATLONG,BROOKLYN,,N/A,Closed,05/01/2016 05:21:56 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/18/2016 06:27:44 PM,Unspecified BROOKLYN,BROOKLYN,996174,177578,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.65407924441486,-73.95702626473536,"(40.65407924441486, -73.95702626473536)"
33039109,04/01/2016 12:00:00 AM,04/20/2016 10:10:22 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Mixed Use Building,10302,539 PORT RICHMOND AVENUE,PORT RICHMOND AVENUE,HOOKER PLACE,WALKER STREET,,,ADDRESS,STATEN ISLAND,,N/A,Closed,05/01/2016 08:54:16 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/20/2016 10:10:22 AM,Unspecified STATEN ISLAND,STATEN ISLAND,945266,168752,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.62977601740118,-74.14044604820108,"(40.62977601740118, -74.14044604820108)"
33036223,04/01/2016 12:00:00 AM,04/19/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10014,43 JANE STREET,JANE STREET,,,,,LATLONG,NEW YORK,,N/A,Closed,05/01/2016 03:21:20 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/19/2016 12:00:00 AM,Unspecified MANHATTAN,MANHATTAN,982943,208266,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73831859830857,-74.00471634360049,"(40.73831859830857, -74.00471634360049)"
33035979,04/01/2016 12:00:00 AM,04/18/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Dwelling,10301,22 STANLEY AVENUE,STANLEY AVENUE,JERSEY STREET,PINE STREET,,,ADDRESS,STATEN ISLAND,,N/A,Closed,05/01/2016 01:10:28 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/18/2016 12:00:00 AM,Unspecified STATEN ISLAND,STATEN ISLAND,960263,171086,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63623565318678,-74.08642531725027,"(40.63623565318678, -74.08642531725027)"
33034135,04/01/2016 12:00:00 AM,04/18/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10304,75 HILL STREET,HILL STREET,MARINE HOSPITAL BOUNDARY,WARREN STREET,,,ADDRESS,STATEN ISLAND,,N/A,Closed,05/01/2016 02:20:13 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/18/2016 12:00:00 AM,Unspecified STATEN ISLAND,STATEN ISLAND,961798,165593,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.621162555814095,-74.08087643265898,"(40.621162555814095, -74.08087643265898)"
33035980,04/01/2016 12:00:00 AM,04/19/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Vacant Lot,11229,2143 EAST 16 STREET,EAST 16 STREET,AVENUE U,AVENUE V,,,ADDRESS,BROOKLYN,,N/A,Closed,05/01/2016 11:41:29 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/19/2016 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,996667,157142,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.597986045999946,-73.95528710203072,"(40.597986045999946, -73.95528710203072)"
33040085,04/01/2016 12:00:00 AM,04/19/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11219,6224 FORT HAMILTON PARKWAY,FORT HAMILTON PARKWAY,,,,,LATLONG,BROOKLYN,,N/A,Closed,05/01/2016 09:55:25 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,04/19/2016 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,982067,169511,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63194482273069,-74.00786485624863,"(40.63194482273069, -74.00786485624863)"
