Date / Time,City,State,Shape,Duration,Summary,Posted
5/29/16 15:30,Plainfield,IL,Sphere,30 seconds,"Outside taking pics of clouds saw nothing with until looked at pics on cell phone shocked to see a gray sphere with white square specs,",6/1/2016
5/29/16 11:43,Scottsdale,AZ,Other,2-4 seconds,A shadow moving across mountain peaks which cause could not be determined.,6/1/2016
5/29/16 03:00,Port Clinton,OH,Circle,1-2 minutes,"Circular object with red, white and blue flashing lights",6/1/2016
5/29/16 01:00,Concord,MA,Oval,20 minutes,looked like a tiny show of white sparkling lights,6/1/2016
5/29/16 00:30,Jacksonville,FL,Triangle,1-2 minutes,"While stargazing, an ultra fast moving, glowing (white/yellow) object appeared in a clear, cloudless sky. ((anonymous report))",6/1/2016
5/29/16 00:00,Lowell,IN,Triangle,Unknown,"Looking out of my window, I saw a giant triangle, and then I fell asleep. ((anonymous report))",6/1/2016
5/28/16 23:30,Susquehanna,PA,Light,45 seconds,Strange that these lights were moving in formation.,6/1/2016
5/28/16 22:25,Aurora,CO,Circle,10 minutes,"Large light, changing from green to red, moving erratically with great speed in western sky.",6/1/2016
5/28/16 22:00,Johnsonville,NC,Circle,3 minutes,"They were small bright orange circles. Sometimes together. Moving slowly. Sometimes moving beside each other,other times going differen",6/1/2016
5/28/16 22:00,Montgomery village,MD,Light,1-2 minutes,"on the Night of May 28, 2016 My husband was on the patio at our condo and noticed a bright red object hoovering in the sky he proceeded",6/1/2016
5/28/16 21:30,Brookksville,FL,Unknown,3 minutes,I was sitting in the back patio the sky was clear I noticed a set of bright elongated lights moving from west to east over Ayers Rd for,6/1/2016
5/28/16 21:02,Brigantine,NJ,Fireball,~30 seconds,"Low flying fireball with very clear visible flames, heading north.",6/1/2016
5/28/16 21:00,Wakefield,NH,Sphere,5 minutes,Two orange lights flying over Pine River Pond and then disappear.,6/1/2016
5/28/16 11:47,Orlando,FL,Light,20 seconds,Too far away to see but 2 light colored white shapes moving all over the place in one area near airport. ((anonymous report)),6/1/2016
5/28/16 09:35,Miami (South Dade),FL,Circle,10-15 minutes,I was out walking my dog. I noticed an bright orange circular object floating slowly mid sky. It looked like it was barely moving. Then,6/1/2016
5/28/16 09:00,Sun City,AZ,Circle,1 hour,Orangish-red circular object seen north of Sun City AZ,6/1/2016
5/28/16 04:40,Oak Lawn,IL,Light,3 minutes,Blink One Time White and Blink One Time Red but Nothing There At All. ((anonymous report)),6/1/2016
5/28/16 04:30,Glenview,IL,Light,15 minutes,Separate very bright white lights me in different directions.,6/1/2016
5/27/16 23:52,Milliken,CO,Fireball,1 minute,"Light orange/white/yellow 'Fireball' sighting in Milliken, CO.",6/1/2016
5/27/16 23:50,Port Charlotte,FL,Disk,20 seconds,"Large, discus shaped object silently hovering 60-70 ft AGL in front of my home. Surface smooth, & glowing orange-white.",6/1/2016
5/27/16 23:11,Albany,NY,Light,2 minutes,Riding my bike at 11:11pm near my motel.,6/1/2016
5/27/16 23:10,St Petersburg,FL,Circle,Seconds,Huge yellowish and orange fireball coming down in the southern St. Petersburg area.,6/1/2016
5/27/16 23:05,Eastpointe,MI,Sphere,6 minutes,Blue to bright red spherical light over Selfridge Airforce Base; landed.,6/1/2016
5/27/16 23:05,Eastpointe,MI,Unknown,10 minutes,"Witnessed a craft, which I cannot explain.",6/1/2016
5/27/16 23:00,Sacramento,CA,Light,,((HOAX??)) Pink floating orb? ((anonymous report)),6/1/2016
5/27/16 22:16,Sagamok First Nation (Canada),ON,Light,55 seconds,Bright Light traveling fast in sky!!!,6/1/2016
5/27/16 22:15,West Springfield,MA,Light,10 minutes,I was walking my dog when I saw this light in the sky. I'm a plane buff so I tend to look up at the sky. This light I spotted seemed to,6/1/2016
5/27/16 22:00,Phoenix,AZ,Changing,30 minutes,Friday the 27th of May at 10pm noticed a light flashing in the sky NE of Phoenix,6/1/2016
5/27/16 21:54,Bellingham,WA,Light,10 minutes,Light Formations,6/1/2016
5/27/16 21:00,Gerber,CA,Chevron,ongoing,9:00 pm Northern CA cluster of lights shaped like a boomerang stationary in the southern sky.,6/1/2016
5/26/16 22:15,Franklinton,NC,Fireball,20 seconds,Ball of fire falling westward from the sky.,6/1/2016
5/26/16 21:30,Tampa,FL,Triangle,4-5 minutes,Triangular object spotted over Tampa 5/26/16 9:30 pm.,6/1/2016
5/26/16 20:00,Modesto,CA,Disk,unknown,"multi-colored lights (3 - red middle light), blinking in irregular patterns. Seen North of Modesto, near cross streets Orangeburg and O",6/1/2016
5/26/16 14:47,Fayetteville,NC,Oval,30 seconds,((HOAX??)) Silver oblong craft traveling fast crossed the horizon. N to S dir.. Visible in the daylight sky for approx. 3245 sec.,5/26/2016
5/26/16 14:45,Colchester,CT,Other,45 seconds,"3 grey metallic oblong objects flying in very tight, regular formation alongside junction of Route 2 & Route 11 just W of Colchester.",6/1/2016
5/26/16 13:00,Sunny View,NC,Sphere,5 minutes,"Witnessed stars moving, strange crafts, view distortion, and orbs in the clouds.",6/1/2016
5/26/16 10:00,San Francisco,CA,Cigar,10 minute,2 cigar/rectangular UFOs floating over San Francisco.,6/3/2016
5/25/16 23:45,Northfield,OH,Other,15 minutes,I was on my way home from work and noticed a low flying craft in the sky. It moved extremely slow and at times would stop. I had to tur,6/1/2016
5/25/16 22:00,Los Angeles (Del Mar Beach),CA,Unknown,45 minutes,((HOAX??)) I WITNESSED THREE BRIGHT BLUE FLASES IN THE SOUTHERN SKY WHILE I WAS LAYING ON THE BEACH.,6/1/2016
5/25/16 21:40,Edgewood,WA,Fireball,5 minutes,Lights seem to be hazy and red orange on outer edges and a yellow flame in the middle; objects seem to flicker and pulse.,5/26/2016
5/25/16 21:10,Albuquerque,NM,Circle,2 minutes,"My daughter and I were out on the balcony, facing east, watching the stars. I saw a white light moving from south to east.",5/26/2016
5/25/16 21:00,Santa Fe,NM,Disk,5 minutes,UFO sighted near Eldorado at Santa Fe.,6/1/2016
5/25/16 13:20,Moriarty,NM,Cylinder,15 seconds,Silver shiny cylindrical object low in sky in broad daylight.,5/26/2016
5/25/16 09:00,Brighton,CO,Circle,3-5 minutes,"3 white round objects moving NE over Brighton, CO, this morning.",5/26/2016
5/25/16 04:15,Barstow,CA,Flash,5 minutes,Flashing light moving in a zigzag pattern,6/1/2016
5/24/16 23:15,Wyoming,MN,Unknown,1 hour,"There were 4 things in the sky, couldn't make out the shape. The we're all in the western sky with red and green flashing lights. Loo",5/26/2016
5/24/16 22:00,Greenville,WI,Flash,30 seconds,"Observed a high altitude flashing light, initially thought it was a aircraft, however the flight path was irradic and the flash was als",5/26/2016
5/24/16 22:00,Warsaw,MO,Other,10 seconds,6 bright yellowish lights.,5/26/2016
5/24/16 21:15,Camdenton,MO,Chevron,10-15 seconds,Yellowish lights across the sky with a rapid departure witnessed by husband and wife central MO. ((Witness is former law enforcement.)),6/1/2016
5/24/16 21:00,Morehead,KY,Light,3 hours,Flashing red and white lights spaced apart in a triangle form. Sight in all seasons even when there are no stars visable.,5/26/2016
5/24/16 21:00,Emerald Isle,NC,Circle,15 minutes,Bright Red/green squarish lights (6) flying one at a time over Emerald Island from sea to sound side towards mainland,5/26/2016
5/24/16 18:20,Geneva,OH,Cigar,1 minute,White cigar shaped object seen during the day in clear sky.,5/26/2016
5/24/16 17:30,Pe Ell,WA,Oval,5-10 seconds,A father and son witness an egg-shaped object streak from N to S. No sound or trail; the sun appeared to reflect on it.,6/3/2016
5/24/16 06:30,Carlsbad,CA,Cigar,5 minutes,"Large bright long light sitting on Pacific Ocean's horizon off coast of Carlsbad, California.",5/26/2016
5/24/16 03:48,Orlando,FL,Fireball,5-7 minutes,"Observed an orange, low flying, fast moving, silent, fireball like obj. crossing the sky, E to W. Moments later a second one followed.",5/26/2016
5/23/16 23:30,Elliot Lake (Canada),ON,Unknown,5 minutes,"Transformer buzz while camping on the lake, and observed three moving lights which appeared as stars blink out from left to right.",5/26/2016
5/23/16 23:05,Grand Rapids,MI,Other,20 minutes,"Multiple craft seem to witness black meteor approach over Grand Rapids, MI.",6/1/2016
5/23/16 23:00,Sylvan Beach,NY,Disk,5 minutes,3 Oval Orange Shaped Disks hovering over Oneida Lake on East Side of Syracuse.,6/1/2016
5/23/16 23:00,Mishawaka,IN,Circle,15 seconds,There were 3 lights dancing around each other as if they were playing. ((anonymous report)),5/26/2016
5/23/16 21:50,St. Petersburg,FL,Fireball,~1 minute,From my address incoming due south approximately over Lake Maggorie.,6/1/2016
5/23/16 20:00,Rapid City,SD,Circle,5 seconds,I was dropping of my grandaughter with my wife. We were head back to the west side of town where we live i looked up toward the horizen,6/1/2016
5/23/16 19:00,Eads,TN,Circle,15+ minutes,Hovering sphere of white blue red lights over West TN.,6/1/2016
5/22/16 23:43,Ogden,UT,Formation,1 minute,Formation of bright non-flashing lights hovering; too large to be a plane.,5/26/2016
5/22/16 23:05,Gilbert,AZ,Sphere,5 minutes,Formation of lights.,5/26/2016
5/22/16 23:00,Greeley,CO,Triangle,2 minutes,Seen a tringle red orange lights craft moving slowly from north to south west above my house in Greeley. ((anonymous report)),5/26/2016
5/22/16 22:30,Bozeman,MT,Flash,<30 seconds,Colour orange and yellow mic like fire.,5/26/2016
5/22/16 22:00,Myrtle Beach,SC,Triangle,1 minute,"Triangular Fire object slowly lifts off the coast, then moves south at a steady rate of speed while increasing altitude.",5/26/2016
5/22/16 22:00,Mineral Point,WI,Other,10-15 seconds,Red glowing object.,5/26/2016
5/22/16 21:30,Rosholt,WI,Unknown,2 minutes,Fast moving blinking red light that just disappeared after a couple minutes.,5/26/2016
5/22/16 21:30,Pataskala,OH,Fireball,20 minutes,"Saw about a dozen balls of fire in the sky, some traveling together, moving north to south in a time frame of about 15-20 minutes.",5/26/2016
5/22/16 20:45,Evansville,IN,Triangle,>5 minutes,What looked like a car with 2 white headlights and 2 red break lights headed in NE dir.. May have landed. ((anonymous report)),5/26/2016
5/22/16 19:00,Grand Coulee,WA,Triangle,25-30 minutes,((HOAX))((NUFORC Note: All contact information is bogus. PD)) Triangular craft taking photos or absorbing power.,5/26/2016
5/22/16 14:23,Fort Collins,CO,Oval,20 minutes,Freak lightning storm with ORB photographed and recorded.,6/1/2016
5/22/16 05:53,Jacksonville Beach,FL,Light,1 minute,"3 white lights in a triangle shape in the west sky, beneath the moon , then started moving individually in a circular pattern, the bott",5/26/2016
5/21/16 23:15,Downingtown,PA,Triangle,~1 minute,Red and green lights on silent flying object at ~50 feet height and ~50 yard distance from me.,5/26/2016
5/21/16 22:16,Kenosha,WI,Circle,30 minutes,We were outside having a fire an saw the reddish orange glowing balls in the sky. They were coming from the north heading siuth.,5/26/2016
5/21/16 22:05,Black River Falls,WI,Light,3 minutes,Several reddish-orange lights in a near figure 8 formation appeared in the SE sky for approximately 2-3 minutes before going,5/26/2016
5/21/16 21:50,Maple Grove,MN,Light,30 seconds,"Bright variable speed light over Maple Grove, MN.",5/26/2016
5/21/16 21:45,San Diego,CA,Formation,15 minutes,"Formation of 12 steady white lights floats from west to east, slowly ascending, over Mission Valley, San Diego.",5/26/2016
5/21/16 21:15,Ft. Lauderdale,FL,,2 minutes,Glowing orange dots chevron formation.,5/26/2016
5/21/16 21:15,Pueblo,CO,Triangle,Ongoing,Looking into the night sky we saw one triangular shaped object in the southern sky. Minutes later a second triangular shaped object.,5/26/2016
5/21/16 21:00,Orland Park,IL,Changing,1 minute,Orland Park UFO sighting blue lights.,5/26/2016
5/21/16 20:58,Dorothy,NJ,Circle,3 minutes,"Bright red, no-blinking light, no sound, no other lights.",5/26/2016
5/21/16 20:50,Murfreesboro,TN,Circle,1 hour,Multiple UFO Sighting - Murfreesboro.,5/26/2016
5/21/16 20:45,Concord,NC,Triangle,15 minutes,"V shape, bright white lights, with a green at the nose, no body just wings. Circled low and slow 3 times in a long loop.",5/26/2016
5/21/16 20:30,Tampa,FL,Other,5 minutes,"Dark pentangle-shaped object, with blue light, somersaulting from NE to SE very quickly.",5/26/2016
5/21/16 18:15,Claremont,CA,Sphere,15-20 minutes,"A Formation of Small, Bright Spheres.",5/26/2016
5/21/16 10:13,Fernley,NV,Disk,2 minutes,"Traveling S Alt. 50 from Fernley, Nevada, to Silver Springs, NV, I noticed a craft.",5/26/2016
5/21/16 06:20,"Monroe County (Road ""V"")",WI,Disk,8 seconds,Saucer shapped UFO sighting in Monroe County.,5/26/2016
5/21/16 03:00,Big Spring,TX,Light,30 seconds,Purple haze/light in sky at 3 AM and vanished.,5/26/2016
5/21/16 00:00,Huntingtion,WV,Changing,30 seconds,Yellow dots over WV.,5/26/2016
5/20/16 23:30,New Berlin,WI,Circle,4 minutes,"Large, red-orange, disc moving at steady speed on 5/20. ((anonymous report))",5/26/2016
5/20/16 23:05,New York City (Brooklyn),NY,Sphere,10 minutes,Two fast spheres orange in color were moving north by northwest over Brooklyn.,5/26/2016
5/20/16 22:30,New York City,NY,Circle,3 seconds,White hazy ball of light ~size of the moon flew by underneath the full moon in a matter of 3 seconds ; vanished. ((anonymous report)),5/26/2016
5/20/16 22:20,Oklahoma City,OK,Light,50 seconds,Orange light moving across sky.,5/26/2016
5/20/16 22:10,Seattle,WA,Formation,5 minutes,3 red craft in loose formation with sweeping lights followed by 2 more craft circling. ((anonymous report)),5/26/2016
5/20/16 22:00,Seattle,WA,Formation,1 minute,5 very unusual glowing red aircraft flying over Seattle.,5/26/2016
5/20/16 21:21,Mentor,OH,Fireball,2 minutes,"Three orange/red orbs flying west, approximately 3500 ft in the sky, estimated to be traveling 500 mph. Size of orbs possibly a round 3",5/26/2016
5/20/16 13:00,Pittsburgh,PA,Circle,3 hours,It was A Bright Light. It Would Move Sporadically. There Were Also Multiple Other Small Dim Lights That Would Move Very Fast In Multipl,5/20/2016
5/20/16 00:05,McMinnville,OR,Disk,10-15 minutes,"Was walking to my car approximately midnight and saw a bright red object near the vicinity of Jupiter (due West, approx. 15 degrees abo",5/20/2016
5/19/16 23:00,Coeur d'Alene,ID,Circle,20 minutes,Two orange orbs over Canfield Mountain.,5/26/2016
5/19/16 21:11,Tucson,AZ,Light,15 seconds,To the N of Tucson saw a still light suspended in the sky. It appeared to be moving ever so slowly. ((anonymous report)),5/20/2016
5/19/16 21:00,Denver,CO,Light,indefinite,Strange behavior above Denver sky.,5/26/2016
5/19/16 20:45,Salisbury,MD,Light,45 seconds,"Bright light accompanied by smaller lights seen over Salisbury, MD.",5/20/2016
5/19/16 20:30,Bellevue,TN,Light,2 minutes,I was driving on interstate 40 towards Nashville when I looked toy left I saw this huge floating light. ((anonymous report)),5/20/2016
5/19/16 13:13,Shrewsbury,MA,Unknown,2 seconds,I went into bank. I left my dashcam on. The dashcam picked up the entire sighting. I saw the ufo while reviewing the dashcam sd card,5/20/2016
5/19/16 11:30,,FL,,,"Enter the position N, E, W or S of object seen. ((anonymous submittal))",5/20/2016
5/19/16 10:30,Skokie,IL,Circle,30 seconds,Silver shining disk flew overhead in front of my car in sky. Occurred in broad daylight. Bright day with clouds. No wings on this airc,5/20/2016
5/19/16 03:00,Dos Palos,CA,Light,river,I pulled over at 3 am i looked out and seen a bright light there was a bright white one and a bright red on. They were flashing.,5/26/2016
5/19/16 02:30,Morgantown,PA,Other,~30 seconds,Very strange happenings.,5/20/2016
5/19/16 02:30,Sandown,NH,Sphere,90 seconds,Bright orb appeared out of nowhere and hovered for 45 seconds before disappearing behind tree line,5/20/2016
5/19/16 01:06,Bristol (UK/England),,Diamond,6:00,19/05/2016 U.F.O Spotted Today,5/20/2016
5/18/16 22:18,Ronkonkoma,NY,Formation,90 seconds,Flickering lights in a V formation with one trailing far behind disappearing into the sky.,5/26/2016
5/18/16 22:18,Ronkonkoma,NY,Formation,90 seconds,"Flickering lights in a ""V"" formation, with one trailing far behind, disappearing into the sky.",5/26/2016
5/18/16 22:00,Kittery,ME,Other,5 minutes,Witnessed dome shaped craft which started as just 3 lights moving in sequence with each other,5/20/2016
5/18/16 21:45,Pollock Pines,CA,Oval,4 minutes,"Red and blue lights over Pollock Pines, CA.",5/20/2016
5/18/16 21:37,Baldwinsville,NY,Light,30 minutes,"I noticed a light in the sky tonight It was still not moving, I noticed it while closing my window. ((anonymous report))",5/20/2016
5/18/16 14:45,Nantucket,MA,Triangle,2 seconds,"Took a picture of the clouds looking north, at a 60° angle . After I took the picture I zoomed in and could see the UFO to the top le",5/20/2016
5/18/16 04:30,Houston,TX,Oval,1 minute,Green oval shaped orb with a small red light at the bottom hoovering over a tree lined cattle pasture.,5/20/2016
5/18/16 00:30,San Jose,CA,Diamond,~45 minutes,"UFO flies over city before flashing, witnessed on a mountain.",5/20/2016
5/17/16 00:00,Kingsville,TX,Light,10 minutes,Two bright stars seen on a cloudy stormy day,5/20/2016
5/17/16 23:00,Otto,NC,Light,several minutes,Light in sky; departs quickly.,5/20/2016
5/17/16 21:10,Syracuse,NY,Formation,<1 minute,Two flashing lights move together same direction and speed and then vanish,5/20/2016
5/17/16 04:00,Canton,MI,Fireball,1 minute,"Driving N down I-275 (between Ford and sheldon exits) at 4 am and I see a green fireball rise up, then swoop back down towards the gro",5/20/2016
5/17/16 01:35,Hazel Green,KY,Triangle,20 minutes,Huge black triangle that was 500 yards across with 3 white lights and 1 faint red light on the bottom with strobbing lights on the bac,5/20/2016
5/17/16 01:00,Leicester,MA,Fireball,5 minutes,Bright spot of light falling from the sky. ((NUFORC Note: Reported as a meteor. PD)),5/20/2016
5/17/16 00:51,Carrabassett Valley,ME,Light,4 seconds,Crazy shit went down in a series of bright lights.,5/20/2016
5/17/16 00:50,Massena,NY,Fireball,15 seconds,Fiery lights in color resembling like a sparkler,5/20/2016
5/17/16 00:13,Galloway,NE,Circle,10 seconds,"Round, large, green objects.",5/20/2016
5/16/16 23:30,Laveen,AZ,Disk,30 seconds,"Yellow lights on Saucer spotted over the Estrella Mountains in Laveen, AZ",5/20/2016
5/16/16 21:00,Casselberry,FL,Light,4 minutes,3 very large bright orbs of light flying in a triangle formation were flying below the clouds on a rainy evening.,5/20/2016
5/16/16 15:34,Noblesville,IN,Unknown,east,Stationary flashing red light in eastern sky. Went on for 3-4 minutes then slowly moved down out of my sight. Clear skies.,5/20/2016
5/16/16 13:15,Tenby (UK/Wales),,Cigar,~5 minutes,Baffling!!,5/20/2016
5/16/16 04:30,Reynoldsville,PA,Sphere,.25 seconds,This was definitely a UFO and not a satellite.,5/20/2016
5/16/16 00:45,Riverhead,NY,Fireball,5 seconds,Circular green object entering our atmosphere turned into light storm of energy.???? ((NUFORC Note: Meteor??? PD)),5/20/2016
5/15/16 22:53,Portland,OR,Oval,3 minutes,Huge oval object with flashing colored lights and buzzing noise appeared outside my house.,5/20/2016
5/15/16 22:30,Robins,IA,Unknown,3 minutes,Green red white lights about 60 foot up from large size craft.,5/20/2016
5/15/16 21:30,Summerville,SC,Unknown,2 minutes,"Red lights over Summerville, SC.",5/20/2016
5/15/16 21:30,Carlinville,IL,Light,5 minutes,"The red lighted object was seen slowly flying over the sky north of Carlinville, IL, towards the small town of Nilwood.",5/20/2016
5/15/16 21:15,Garden City,SC,Sphere,2 minutes,"Orange/Reddish glowing sphere over Atlantic in Garden City, SC",5/20/2016
5/15/16 21:00,Manteca,CA,Changing,30,Multi-colored orb seen every night.,5/20/2016
5/15/16 21:00,Racine,WI,Triangle,10 minutes,"21:00 hours and total of five fast moving red objects going WSW to East at low altitude, no engine noise, no aircraft lights",5/20/2016
5/15/16 12:46,LaGrange,GA,Cigar,20 seconds,"White shimmering cigar shaped object with black stripe down the side, approximately 150' in length.",5/20/2016
5/15/16 10:45,Decatur,AL,Cylinder,1-2 minutes,Coming from Huntsville and saw like a white cylinder hovering in the sky. Thought it may have been plane but it didn't move. Thought it,5/20/2016
5/15/16 08:45,Haltom City,TX,Unknown,1 second,"While standing outside observing the cloud cover, Sunday morning, a giant roar passed overhead from north to south in 1 second.",5/20/2016
5/15/16 00:01,Lucedale,MS,Triangle,30 minutes,4-7 Triangular objects with lights observed hovering over South Mississippi May 2016,6/3/2016
5/14/16 23:49,Fayetteville,NC,Formation,10 minutes,"Two objects flying very high and watched as one of the objects started to come down lower, it got very bright. ((anonymous report))",5/20/2016
5/14/16 23:30,Salt Lake City,UT,Triangle,45 seconds,"Green craft hovering, then disappearing.",5/26/2016
5/14/16 22:45,Schaumburg,IL,Circle,10 minutes,"Seen two, three paired circles rotating and converging into single circle and coming back to its original position n doing same thing a",5/20/2016
5/14/16 22:35,Lafayette,NJ,Circle,5 minutes,Red round lights in a strange formation went across the sky,5/20/2016
5/14/16 22:20,Indianapolis,IN,Unknown,10 minutes,Strange red moving objects low in the horizon,5/20/2016
5/14/16 22:00,Baldwin park,CA,Flash,10 seconds,Red yellow green light on top of each other forming a huge thick like rainbow flashing over a whole block then ten minutes later anot,5/20/2016
5/14/16 21:55,St. Augustine Beach,FL,Fireball,5 minutes,Me and my wife were sitting on the deck of a condo overlooking the ocean at st augustine beach. from the southeast over the ocean we sa,5/26/2016
5/14/16 21:15,Garden City,UT,Teardrop,2 minutes,"Formations of bright orange lights over garden city, utah",5/20/2016
5/14/16 20:45,Raleigh,NC,Light,20 minutes,Very bright light in evening sky where neither a star nor planet should be and then 3 pulsating lights came through the trees.,5/20/2016
5/14/16 20:10,Maricopa,AZ,Fireball,4 seconds,Orange orbs without noise & vanished quickly.,5/20/2016
5/14/16 18:45,Charlotte,NC,Circle,6-10 seconds,"Blue orb with aura seen on American Airlines flight near Charlotte, NC, airport.",5/20/2016
5/14/16 17:50,Albuquerque,NM,Unknown,20 minutes,My wife and i were sitting outside enjoying the weather when i happened to look up at a commercial plane that had past observing the tr,5/20/2016
5/14/16 03:00,Ashburn,VA,Circle,6 minutes,Was getting ready for bed and then looked out to see the stars. I noticed one star was very bright and then started moving. I then noti,5/20/2016
5/14/16 02:15,Tulsa,OK,Triangle,5 minutes,Three separate crafts taking off in a 90 degree angle.,5/20/2016
5/14/16 01:00,Columbus,NC,Other,3 hours,"I woke to use the restroom this morning about 2am, I stepped out on my porch in MillSprings NC and was shocked at",6/1/2016
5/14/16 00:00,Portland,OR,Flash,30 minutes,"Large flashes of light in N.E, Portland.",5/20/2016
5/13/16 23:20,Grand Junction,CO,Sphere,2 minutes,Bright red sphere low on horizon above glade park/monument area.,5/20/2016
5/13/16 22:30,Clive,UT,Light,1 minute,"Friday night lights Clive, Utah.",5/20/2016
5/13/16 22:19,Louisville,KY,Other,~10-12 seconds,"@Approx,10:19pm/May 13-2016. Saw from r/side of sky, star like object, began going across sky to left. Behind had bluish green trail.",5/20/2016
5/13/16 22:00,Thomasville,GA,Flash,30 minutes,Round bright objects seen in the sky over Thomas County,5/20/2016
